Video,Video title,Video publish time,Watch time (hours),Shares,Dislikes,Likes,Comments added,Views,Subscribers
9XAxSrlKaa4,v1.0: A Jornada do Desenvolvedor,"Jun 16, 2020","19,5",1,0,33,3,283,13
dVrSf_wR3tE,v1.1: Porque somente trabalhar lhe impede de evoluir na TI?,"Jun 25, 2020","9,1",2,1,34,1,930,13
3t47lX3-O2k,v10.0: Qual é a linguagem de programação melhor para quem está começando?,"Aug 9, 2020","16,8",2,1,31,1,537,7
F4gCyGATOaw,v10.1: O que é sintaxe e semântica nas linguagens de programação?,"Sep 16, 2020","3,2",1,0,12,0,154,3
NVh1OQfojJc,v10.2: Como estudar infraestrutura?,"Sep 23, 2020","1,2",0,0,3,0,67,3
TVrKx56SCmw,v10.3: Como configurar o Ruby para estudar?,"Sep 30, 2020","0,6",0,0,1,0,13,0
1OaRT7heJ58,v10.4: Como configurar o Php para estudar?,"Jan 1, 1970","0,0",0,0,0,0,0,0
yNYXOU_j_ag,v10.5: Como configurar o Java para estudar?,"Jan 1, 1970","0,0",0,0,0,0,0,0
lek2gaCtNro,v10.6: Como configurar o Javascript para estudar?,"Sep 20, 2020","1,9",0,0,9,0,85,2
E_ufT_w4quY,v10.7: Como configurar o Python para estudar?,"Jan 1, 1970","0,0",0,0,0,0,0,0
sP0at5fEplY,v11.0: Quais são as principais vantagens e desvantagens de trabalhar com programação?,"Aug 16, 2020","25,2",3,2,26,3,586,11
uD1YZOqjBrE,v11.13.1: Porque programação é uma das melhores profissões?,"Sep 13, 2020","13,3",1,3,38,4,942,22
HjfVgI3OpTM,v11.2: Como a programação pode ajudar várias pessoas?,"Oct 1, 2020","0,7",0,0,6,1,19,0
n-_sRPgZizo,v11.3: Como a programação pode lhe tornar importante para outras profissões?,"Jan 1, 1970","0,0",0,0,0,0,0,0
Fc9zYvkJSz4,v11.4: Como a programação permite você errar mais que outras profissões?,"Jan 1, 1970","0,0",0,0,0,0,0,0
3Dxr5u4jbjg,"v11.7: Como a programação permite ter um salário 2,5x maior que a média do Brasil?","Sep 27, 2020","2,0",1,0,13,2,79,1
Wc-cdoez82g,v12.0: Qual é o melhor tipo de empresa para se trabalhar?,"Aug 23, 2020","17,8",2,2,20,6,551,7
-hzTHzGXGcc,v12.1: Qual é o tamanho do mercado de TI brasileira?,"Sep 18, 2020","4,5",0,2,9,0,394,2
bkBKbyd8Gic,v12.2: Porque na empresa de serviço de ti você deve trabalhar por pouco tempo?,"Sep 25, 2020","3,3",0,0,14,0,65,2
ZgxcTz7I0yg,v12.3: Porque na empresa de sistemas de ti você deve trabalhar por algum tempo?,"Oct 2, 2020","0,0",0,0,0,0,0,0
km9X-BqqpYk,v12.4: Porque na empresa de produto de ti você deve trabalhar por muito tempo?,"Jan 1, 1970","0,0",0,0,0,0,0,0
5bUt4vPek0g,v12.5: Como é o mercado de startups no Brasil?,"Jan 1, 1970","0,0",0,0,0,0,0,0
llo4SPxi0MI,v13.0: Série Ecossistema Git - Como usar o git em um projeto?,"Aug 30, 2020","12,3",4,1,15,3,529,4
